Title,Score,Release Year,Company
Disgaea 7: Vows of the Virtueless,87%,2023,"Nippon Ichi Software, Inc."
Dragon Ball FighterZ,87%,2018,"Arc System Works Co., Ltd."
Gris,87%,2018,Nomada Studio
Hyper Light Drifter: Special Edition,87%,2018,Heart Machine LLC
Katana Zero,87%,2019,Askiisoft
Mushihimesama,87%,2021,"CAVE Co., Ltd."
Night in the Woods,87%,2018,Infinite Fall
Ninja Gaiden: Ragebound,87%,2025,The Game Kitchen SL
Nobody Saves the World,87%,2022,DrinkBox Studios Inc.
Pinball FX3,87%,2017,Zen Stúdió Kft
Rayman Legends,87%,2017,Ubisoft SARL
Return of the Obra Dinn,87%,2019,"3909, LLC."
Rune Factory 4 Special,87%,2019,"Neverland Co., Ltd."
Signalis,87%,2022,rose-engine GbR
Slay the Princess,87%,2024,"Black Tabby Games, LLC"
Streets of Rage 4,87%,2020,DotEmu SAS
Tangle Tower,87%,2019,SFB Games Ltd.
Teenage Mutant Ninja Turtles: Shredder's Revenge,87%,2022,Tribute Games Inc.
Tempopo,87%,2025,Witch Beam Pty. Ltd.
The Binding of Isaac: Afterbirth+,87%,2017,"Nicalis, Inc."
The Elder Scrolls V: Skyrim - Special Edition,87%,2017,Bethesda Game Studios
The Hundred Line: Last Defense Academy,87%,2025,Media.Vision Entertainment Inc.
The Legend of Heroes: Trails to Azure,87%,2021,Nihon Falcom Corp.
UnderMine,87%,2021,Thorium Entertainment
Unicorn Overlord,87%,2024,Vanillaware Ltd.
West of Loathing,87%,2018,Asymmetric Publications
Apollo Justice: Ace Attorney Trilogy,88%,2024,"Capcom Co., Ltd."
Assault Android Cactus,88%,2019,Witch Beam Pty. Ltd.
Atari 50: The Anniversary Celebration,88%,2022,Digital Eclipse Entertainment Partners Co.
Blasphemous II,88%,2023,The Game Kitchen SL
Cave Story+,88%,2017,Studio Pixel
Diablo III: Eternal Collection,88%,2018,Blizzard Entertainment Inc.
Dicefolk,88%,2024,LEAP Game Studios
Dreamscaper,88%,2021,Freedom Games LLC
Enter the Gungeon,88%,2017,Dodge Roll
Fire Emblem: Three Houses,88%,2019,"Intelligent Systems Co., Ltd."
Huntdown,88%,2020,Easy Trigger AB
Ikaruga,88%,2018,"Treasure Co., Ltd."
Jack Jeanne,88%,2021,"Hyde, Inc."
Just Shapes & Beats,88%,2018,Berzerk Studio Inc.
Kirby and the Forgotten Land,88%,2022,"HAL Laboratory, Inc."
Life Is Strange: True Colors,88%,2021,Deck Nine
Lorelei and the Laser Eyes,88%,2024,Simogo AB
Luigi's Mansion 3,88%,2019,"Next Level Games, Inc."
Mega Man Zero/ZX Legacy Collection,88%,2020,"Capcom Co., Ltd."
Minecraft: Nintendo Switch Edition,88%,2017,Microsoft Studios
Monster Boy and the Cursed Kingdom,88%,2018,The Game Atelier
Necrobarista,88%,2021,Route 59
NEO: The World Ends with You,88%,2021,"Square Enix Co., Ltd."
Ōkami,88%,2018,"Clover Studio Co., Ltd."
Ori and the Will of the Wisps,88%,2020,Moon Studios GmbH
Paper Mario: The Thousand-Year Door,88%,2024,"Intelligent Systems Co., Ltd."
Return to Monkey Island,88%,2022,"Terrible Toybox, Inc."
Rolling Gunner,88%,2019,Project Rolling Gunner
Roots of Pacha,88%,2023,Soda Den LLC
Sea of Stars,88%,2023,Sabotage Studio Inc.
Shin Megami Tensei V: Vengeance,88%,2024,"Atlus Co., Ltd."
Super Mario 3D World + Bowser’s Fury,88%,2021,Nintendo EPD
Superhot,88%,2019,SUPERHOT Sp. z o.o.
The Legend of Heroes: Trails Through Daybreak,88%,2024,Nihon Falcom Corp.
The Messenger,88%,2018,Sabotage Studio Inc.
Theatrhythm: Final Bar Line,88%,2023,"indieszero Co., Ltd."
Tinykin,88%,2022,Splashteam
We ♥ Katamari: Reroll+ Royal Reverie,88%,2023,MONKEYCRAFT Co. Ltd.
Wilmot's Warehouse,88%,2019,Hollow Ponds Games Ltd.
Xenoblade Chronicles X: Definitive Edition,88%,2025,"Monolith Software, Inc."
Bastion,89%,2018,"Supergiant Games, Inc."
Cocoon,89%,2023,Geometric Interactive
Dead Cells,89%,2018,Motion Twin SCOPARL
Deemo,89%,2017,Rayark Inc.
